id,manglish,malayalam,english
750,njanu pokunnuu undo,ഞാൻ പോകുന്നു ഉണ്ടോ,is I going?
751,avan chaaya padikkunnuu,അവൻ ചായ പഠിക്കുന്നു,he is studying tea
752,avan schooleel pani cheyyoonnoo,അവൻ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,he is working at school
753,avan schulil padikkoonnoo,അവൻ സ്കൂളിൽ പഠിക്കുന്നു,he is studying at school
754,nammal coffi padikkoonnoo,നാം കാപ്പി പഠിക്കുന്നു,we is studying coffee
755,avan officeil padikkunnuu,അവൻ ഓഫീസിൽ പഠിക്കുന്നു,he is studying at office
756,njan officeilu padikkunnu,ഞാൻ ഓഫീസിൽ പഠിക്കുന്നു,I is studying at office
757,nammalu pusthakam padikkunnu,നാം പുസ്തകം പഠിക്കുന്നു,we is studying book
758,avan schulil panee cheyyunnu,അവൻ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,he is working at school
759,avalu coffi padikkoonnoo,അവൾ കാപ്പി പഠിക്കുന്നു,she is studying coffee
760,njan pusthakamu padikkunnuu,ഞാൻ പുസ്തകം പഠിക്കുന്നു,I is studying book
761,nammal schoolil pani cheyyunnuu,നാം സ്കൂളിൽ ജോലി ചെയ്യുന്നു,we is working at school
762,nee schoolil oorangoonnoo,നീ സ്കൂളിൽ ഉറങ്ങുന്നു,you is sleeping at school
763,nammal officeilu pokunnuu,നാം ഓഫീസിൽ പോകുന്നു,we is going at office
764,avan pusthakam kazhikkoonnoo,അവൻ പുസ്തകം കഴിക്കുന്നു,he is eating book
765,ni chaaya pani cheyyunnu,നീ ചായ ജോലി ചെയ്യുന്നു,you is working tea
766,nammalu poosthakam pokunnu,നാം പുസ്തകം പോകുന്നു,we is going book
767,neeu veettil pokunnuu,നീ വീട്ടിൽ പോകുന്നു,you is going at home
768,nee offeeceeel varunnuu,നീ ഓഫീസിൽ വരുന്നു,you is coming at office
769,avanu padikkunnu undo,അവൻ പഠിക്കുന്നു ഉണ്ടോ,is he studying?
770,nammal varunnuu undo,നാം വരുന്നു ഉണ്ടോ,is we coming?
771,nammal vellam pokunnuu,നാം വെള്ളം പോകുന്നു,we is going water
772,nammal vellam kazhikkunnu,നാം വെള്ളം കഴിക്കുന്നു,we is eating water
773,neeu officeil varunnu,നീ ഓഫീസിൽ വരുന്നു,you is coming at office
774,aval pokunnuu undo,അവൾ പോകുന്നു ഉണ്ടോ,is she going?
775,njanu schoolil padikkoonnoo,ഞാൻ സ്കൂളിൽ പഠിക്കുന്നു,I is studying at school
776,avan coffee kazhikkunnu,അവൻ കാപ്പി കഴിക്കുന്നു,he is eating coffee
777,njan coffeeu pani cheyyunnuu,ഞാൻ കാപ്പി ജോലി ചെയ്യുന്നു,I is working coffee
778,ni vellam padikkunnu,നീ വെള്ളം പഠിക്കുന്നു,you is studying water
779,ni poosthakam urangunnu,നീ പുസ്തകം ഉറങ്ങുന്നു,you is sleeping book
780,avan vellam kazhikkunnuu,അവൻ വെള്ളം കഴിക്കുന്നു,he is eating water
781,nee coffee pani cheyyunnuu,നീ കാപ്പി ജോലി ചെയ്യുന്നു,you is working coffee
782,nammal pokunnuu undo,നാം പോകുന്നു ഉണ്ടോ,is we going?
783,aval chaya padeekkunnu,അവൾ ചായ പഠിക്കുന്നു,she is studying tea
784,nammal schoolil varunnu,നാം സ്കൂളിൽ വരുന്നു,we is coming at school
785,aval pusthakam pokunnuu,അവൾ പുസ്തകം പോകുന്നു,she is going book
786,avan vellam pokunnu,അവൻ വെള്ളം പോകുന്നു,he is going water
787,njanu vellam varoonnoo,ഞാൻ വെള്ളം വരുന്നു,I is coming water
788,avanu schoolil varunnu,അവൻ സ്കൂളിൽ വരുന്നു,he is coming at school
789,avan chaaya varunnuu,അവൻ ചായ വരുന്നു,he is coming tea
790,njan veettil padikkoonnoo,ഞാൻ വീട്ടിൽ പഠിക്കുന്നു,I is studying at home
791,nee panee cheyyunnu undo,നീ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is you working?
792,aval officeilu pokunnu,അവൾ ഓഫീസിൽ പോകുന്നു,she is going at office
793,avalu veettilu padikkoonnoo,അവൾ വീട്ടിൽ പഠിക്കുന്നു,she is studying at home
794,nammalu chaayau pokunnu,നാം ചായ പോകുന്നു,we is going tea
795,ni officeilu varunnu,നീ ഓഫീസിൽ വരുന്നു,you is coming at office
796,aval schoolil padikkunnu,അവൾ സ്കൂളിൽ പഠിക്കുന്നു,she is studying at school
797,njan veetteel kazhikkunnu,ഞാൻ വീട്ടിൽ കഴിക്കുന്നു,I is eating at home
798,nammal poosthakam panee cheyyunnu,നാം പുസ്തകം ജോലി ചെയ്യുന്നു,we is working book
799,avan veettil kazhikkoonnoo,അവൻ വീട്ടിൽ കഴിക്കുന്നു,he is eating at home
800,nee schoolil kazhikkunnuu,നീ സ്കൂളിൽ കഴിക്കുന്നു,you is eating at school
801,njan chaayau varunnu,ഞാൻ ചായ വരുന്നു,I is coming tea
802,nee coffi urangunnu,നീ കാപ്പി ഉറങ്ങുന്നു,you is sleeping coffee
803,njan veettilu urangunnu,ഞാൻ വീട്ടിൽ ഉറങ്ങുന്നു,I is sleeping at home
804,nammalu padikkunnu undo,നാം പഠിക്കുന്നു ഉണ്ടോ,is we studying?
805,nee officeilu varunnu,നീ ഓഫീസിൽ വരുന്നു,you is coming at office
806,njan urangunnuu undo,ഞാൻ ഉറങ്ങുന്നു ഉണ്ടോ,is I sleeping?
807,nammal veettil oorangoonnoo,നാം വീട്ടിൽ ഉറങ്ങുന്നു,we is sleeping at home
808,aval coffee pokunnu,അവൾ കാപ്പി പോകുന്നു,she is going coffee
809,avan veettilu kazhikkunnu,അവൻ വീട്ടിൽ കഴിക്കുന്നു,he is eating at home
810,nammalu schoolilu varunnu,നാം സ്കൂളിൽ വരുന്നു,we is coming at school
811,avan schoolil varunnu,അവൻ സ്കൂളിൽ വരുന്നു,he is coming at school
812,njanu pani cheyyoonnoo undo,ഞാൻ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is I working?
813,aval veettil padikkunnu,അവൾ വീട്ടിൽ പഠിക്കുന്നു,she is studying at home
814,njan oorangoonnoo undo,ഞാൻ ഉറങ്ങുന്നു ഉണ്ടോ,is I sleeping?
815,njan coffee pani cheyyunnu,ഞാൻ കാപ്പി ജോലി ചെയ്യുന്നു,I is working coffee
816,aval chaaya padikkunnu,അവൾ ചായ പഠിക്കുന്നു,she is studying tea
817,nee schoolilu urangunnu,നീ സ്കൂളിൽ ഉറങ്ങുന്നു,you is sleeping at school
818,njan vellam urangunnuu,ഞാൻ വെള്ളം ഉറങ്ങുന്നു,I is sleeping water
819,avalu pusthakam pokunnu,അവൾ പുസ്തകം പോകുന്നു,she is going book
820,njanu vellamu padeekkunnu,ഞാൻ വെള്ളം പഠിക്കുന്നു,I is studying water
821,neeu vellam kazhikkunnu,നീ വെള്ളം കഴിക്കുന്നു,you is eating water
822,njan veettilu pokunnu,ഞാൻ വീട്ടിൽ പോകുന്നു,I is going at home
823,avanu schulil padikkunnu,അവൻ സ്കൂളിൽ പഠിക്കുന്നു,he is studying at school
824,nee schoolil pani cheyyunnuu,നീ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,you is working at school
825,ni veetteel oorangoonnoo,നീ വീട്ടിൽ ഉറങ്ങുന്നു,you is sleeping at home
826,njan poosthakam pokunnu,ഞാൻ പുസ്തകം പോകുന്നു,I is going book
827,aval pusthakam padeekkunnu,അവൾ പുസ്തകം പഠിക്കുന്നു,she is studying book
828,avan chaaya kazhikkunnu,അവൻ ചായ കഴിക്കുന്നു,he is eating tea
829,njanu kazhikkunnuu undo,ഞാൻ കഴിക്കുന്നു ഉണ്ടോ,is I eating?
830,njan pusthakamu varunnuu,ഞാൻ പുസ്തകം വരുന്നു,I is coming book
831,avan coffee oorangoonnoo,അവൻ കാപ്പി ഉറങ്ങുന്നു,he is sleeping coffee
832,nammal padeekkunnu undo,നാം പഠിക്കുന്നു ഉണ്ടോ,is we studying?
833,nammal schooleel kazheekkunnu,നാം സ്കൂളിൽ കഴിക്കുന്നു,we is eating at school
834,nammal veettil kazhikkunnu,നാം വീട്ടിൽ കഴിക്കുന്നു,we is eating at home
835,nee vellamu kazhikkunnuu,നീ വെള്ളം കഴിക്കുന്നു,you is eating water
836,njanu coffeeu varunnu,ഞാൻ കാപ്പി വരുന്നു,I is coming coffee
837,nammalu vellam pani cheyyunnu,നാം വെള്ളം ജോലി ചെയ്യുന്നു,we is working water
838,njan poosthakam kazhikkoonnoo,ഞാൻ പുസ്തകം കഴിക്കുന്നു,I is eating book
839,nammal schulil varunnu,നാം സ്കൂളിൽ വരുന്നു,we is coming at school
840,aval veettil pani cheyyoonnoo,അവൾ വീട്ടിൽ ജോലി ചെയ്യുന്നു,she is working at home
841,nee vittil pani cheyyunnuu,നീ വീട്ടിൽ ജോലി ചെയ്യുന്നു,you is working at home
842,njanu vellam kazhikkunnu,ഞാൻ വെള്ളം കഴിക്കുന്നു,I is eating water
843,nammal schoolil pokoonnoo,നാം സ്കൂളിൽ പോകുന്നു,we is going at school
844,njan schoolil pani cheyyunnu,ഞാൻ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,I is working at school
845,aval vellamu varunnu,അവൾ വെള്ളം വരുന്നു,she is coming water
846,avan schoolilu varunnu,അവൻ സ്കൂളിൽ വരുന്നു,he is coming at school
847,neeu vellam varunnuu,നീ വെള്ളം വരുന്നു,you is coming water
848,njan veettil panee cheyyunnu,ഞാൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,I is working at home
849,njan pusthakamu varunnu,ഞാൻ പുസ്തകം വരുന്നു,I is coming book
850,nammal veettil pokunnu,നാം വീട്ടിൽ പോകുന്നു,we is going at home
851,avan chaaya padeekkunnu,അവൻ ചായ പഠിക്കുന്നു,he is studying tea
852,aval coffee pokoonnoo,അവൾ കാപ്പി പോകുന്നു,she is going coffee
853,avan veettil varoonnoo,അവൻ വീട്ടിൽ വരുന്നു,he is coming at home
854,njan vellam padeekkunnu,ഞാൻ വെള്ളം പഠിക്കുന്നു,I is studying water
855,nee kazheekkunnu undo,നീ കഴിക്കുന്നു ഉണ്ടോ,is you eating?
856,nammal chaaya kazhikkunnuu,നാം ചായ കഴിക്കുന്നു,we is eating tea
857,nammalu chaaya pokunnu,നാം ചായ പോകുന്നു,we is going tea
858,avan vellamu kazhikkunnu,അവൻ വെള്ളം കഴിക്കുന്നു,he is eating water
859,nammal offeeceeel padikkunnu,നാം ഓഫീസിൽ പഠിക്കുന്നു,we is studying at office
860,njan vellam pokunnu,ഞാൻ വെള്ളം പോകുന്നു,I is going water
861,nammal pusthakam oorangoonnoo,നാം പുസ്തകം ഉറങ്ങുന്നു,we is sleeping book
862,neeu coffeeu pokunnu,നീ കാപ്പി പോകുന്നു,you is going coffee
863,avan veettil pokoonnoo,അവൻ വീട്ടിൽ പോകുന്നു,he is going at home
864,nee coffee varunnuu,നീ കാപ്പി വരുന്നു,you is coming coffee
865,nammal coffee pani cheyyunnuu,നാം കാപ്പി ജോലി ചെയ്യുന്നു,we is working coffee
866,avan chaayau pokunnu,അവൻ ചായ പോകുന്നു,he is going tea
867,nammal schooleel urangunnu,നാം സ്കൂളിൽ ഉറങ്ങുന്നു,we is sleeping at school
868,njan officeilu pokunnu,ഞാൻ ഓഫീസിൽ പോകുന്നു,I is going at office
869,njan officeil kazhikkoonnoo,ഞാൻ ഓഫീസിൽ കഴിക്കുന്നു,I is eating at office
870,nammal veetteel pani cheyyunnu,നാം വീട്ടിൽ ജോലി ചെയ്യുന്നു,we is working at home
871,aval offeeceeel pokunnuu,അവൾ ഓഫീസിൽ പോകുന്നു,she is going at office
872,nee chaayau pokunnuu,നീ ചായ പോകുന്നു,you is going tea
873,njan vellam varoonnoo,ഞാൻ വെള്ളം വരുന്നു,I is coming water
874,njan officeil pokunnu,ഞാൻ ഓഫീസിൽ പോകുന്നു,I is going at office
875,njan veetteel varoonnoo,ഞാൻ വീട്ടിൽ വരുന്നു,I is coming at home
876,avan pusthakam varunnuu,അവൻ പുസ്തകം വരുന്നു,he is coming book
877,aval coffi pokunnu,അവൾ കാപ്പി പോകുന്നു,she is going coffee
878,nee pusthakam padikkunnu,നീ പുസ്തകം പഠിക്കുന്നു,you is studying book
879,ni oorangoonnoo undo,നീ ഉറങ്ങുന്നു ഉണ്ടോ,is you sleeping?
880,njan officeil padikkunnuu,ഞാൻ ഓഫീസിൽ പഠിക്കുന്നു,I is studying at office
881,avan coffee padeekkunnu,അവൻ കാപ്പി പഠിക്കുന്നു,he is studying coffee
882,nee chaya kazhikkoonnoo,നീ ചായ കഴിക്കുന്നു,you is eating tea
883,avan coffee urangunnu,അവൻ കാപ്പി ഉറങ്ങുന്നു,he is sleeping coffee
884,nammal offeeceeel pokunnu,നാം ഓഫീസിൽ പോകുന്നു,we is going at office
885,nammal schoolilu pani cheyyunnuu,നാം സ്കൂളിൽ ജോലി ചെയ്യുന്നു,we is working at school
886,avan schulil pokunnu,അവൻ സ്കൂളിൽ പോകുന്നു,he is going at school
887,njan pokoonnoo undo,ഞാൻ പോകുന്നു ഉണ്ടോ,is I going?
888,aval coffeeu pokunnu,അവൾ കാപ്പി പോകുന്നു,she is going coffee
889,nee coffee pokunnuu,നീ കാപ്പി പോകുന്നു,you is going coffee
890,nee schoolil pani cheyyunnu,നീ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,you is working at school
891,nammal veettil varoonnoo,നാം വീട്ടിൽ വരുന്നു,we is coming at home
892,avanu schulil varunnu,അവൻ സ്കൂളിൽ വരുന്നു,he is coming at school
893,ni schoolil kazhikkunnuu,നീ സ്കൂളിൽ കഴിക്കുന്നു,you is eating at school
894,aval schooleel varunnu,അവൾ സ്കൂളിൽ വരുന്നു,she is coming at school
895,njan vellam kazhikkunnuu,ഞാൻ വെള്ളം കഴിക്കുന്നു,I is eating water
896,nammal vittil pokunnu,നാം വീട്ടിൽ പോകുന്നു,we is going at home
897,aval vellam kazhikkoonnoo,അവൾ വെള്ളം കഴിക്കുന്നു,she is eating water
898,aval vellam pani cheyyoonnoo,അവൾ വെള്ളം ജോലി ചെയ്യുന്നു,she is working water
899,neeu offeeceeel padikkunnu,നീ ഓഫീസിൽ പഠിക്കുന്നു,you is studying at office
900,neeu pani cheyyunnuu undo,നീ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is you working?
901,avan coffee panee cheyyunnu,അവൻ കാപ്പി ജോലി ചെയ്യുന്നു,he is working coffee
902,nammal schoolil kazheekkunnu,നാം സ്കൂളിൽ കഴിക്കുന്നു,we is eating at school
903,nammalu padeekkunnu undo,നാം പഠിക്കുന്നു ഉണ്ടോ,is we studying?
904,njan vellamu oorangoonnoo,ഞാൻ വെള്ളം ഉറങ്ങുന്നു,I is sleeping water
905,nee pusthakam kazhikkunnuu,നീ പുസ്തകം കഴിക്കുന്നു,you is eating book
906,njan officeil pani cheyyoonnoo,ഞാൻ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,I is working at office
907,nammal veetteel varunnu,നാം വീട്ടിൽ വരുന്നു,we is coming at home
908,aval officeil padikkunnu,അവൾ ഓഫീസിൽ പഠിക്കുന്നു,she is studying at office
909,neeu pusthakamu urangunnu,നീ പുസ്തകം ഉറങ്ങുന്നു,you is sleeping book
910,nee coffi pokunnu,നീ കാപ്പി പോകുന്നു,you is going coffee
911,njanu vellam pokunnuu,ഞാൻ വെള്ളം പോകുന്നു,I is going water
912,nammalu schooleel pani cheyyunnu,നാം സ്കൂളിൽ ജോലി ചെയ്യുന്നു,we is working at school
913,nammal coffee urangunnu,നാം കാപ്പി ഉറങ്ങുന്നു,we is sleeping coffee
914,aval offeeceeel oorangoonnoo,അവൾ ഓഫീസിൽ ഉറങ്ങുന്നു,she is sleeping at office
915,nammal chaaya oorangoonnoo,നാം ചായ ഉറങ്ങുന്നു,we is sleeping tea
916,avan pusthakam pokoonnoo,അവൻ പുസ്തകം പോകുന്നു,he is going book
917,njanu schooleel kazheekkunnu,ഞാൻ സ്കൂളിൽ കഴിക്കുന്നു,I is eating at school
918,nammal schulil urangunnu,നാം സ്കൂളിൽ ഉറങ്ങുന്നു,we is sleeping at school
919,avan schoolil oorangoonnoo,അവൻ സ്കൂളിൽ ഉറങ്ങുന്നു,he is sleeping at school
920,avanu pusthakam pani cheyyoonnoo,അവൻ പുസ്തകം ജോലി ചെയ്യുന്നു,he is working book
921,njan coffi padikkunnu,ഞാൻ കാപ്പി പഠിക്കുന്നു,I is studying coffee
922,nammalu chaaya varunnu,നാം ചായ വരുന്നു,we is coming tea
923,njanu veettil pokunnu,ഞാൻ വീട്ടിൽ പോകുന്നു,I is going at home
924,aval vellamu padikkoonnoo,അവൾ വെള്ളം പഠിക്കുന്നു,she is studying water
925,nee coffee pani cheyyunnu,നീ കാപ്പി ജോലി ചെയ്യുന്നു,you is working coffee
926,nee pani cheyyoonnoo undo,നീ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is you working?
927,njanu chaya kazhikkunnu,ഞാൻ ചായ കഴിക്കുന്നു,I is eating tea
928,nammal vellam padikkoonnoo,നാം വെള്ളം പഠിക്കുന്നു,we is studying water
929,nammal vellam pokunnu,നാം വെള്ളം പോകുന്നു,we is going water
930,nammalu vellam padikkunnu,നാം വെള്ളം പഠിക്കുന്നു,we is studying water
931,njanu padikkunnu undo,ഞാൻ പഠിക്കുന്നു ഉണ്ടോ,is I studying?
932,nammalu veettilu pani cheyyunnuu,നാം വീട്ടിൽ ജോലി ചെയ്യുന്നു,we is working at home
933,njanu veettilu varunnuu,ഞാൻ വീട്ടിൽ വരുന്നു,I is coming at home
934,nammal officeil panee cheyyunnu,നാം ഓഫീസിൽ ജോലി ചെയ്യുന്നു,we is working at office
935,ni veettilu panee cheyyunnu,നീ വീട്ടിൽ ജോലി ചെയ്യുന്നു,you is working at home
936,nammal chaya padeekkunnu,നാം ചായ പഠിക്കുന്നു,we is studying tea
937,nammal officeilu padikkoonnoo,നാം ഓഫീസിൽ പഠിക്കുന്നു,we is studying at office
938,avan pusthakam pani cheyyunnuu,അവൻ പുസ്തകം ജോലി ചെയ്യുന്നു,he is working book
939,nammal veettil varunnu,നാം വീട്ടിൽ വരുന്നു,we is coming at home
940,aval officeilu kazhikkunnu,അവൾ ഓഫീസിൽ കഴിക്കുന്നു,she is eating at office
941,njan chaayau pokunnuu,ഞാൻ ചായ പോകുന്നു,I is going tea
942,njanu coffi pokunnu,ഞാൻ കാപ്പി പോകുന്നു,I is going coffee
943,aval schoolil urangunnuu,അവൾ സ്കൂളിൽ ഉറങ്ങുന്നു,she is sleeping at school
944,avan offeeceeel pokunnu,അവൻ ഓഫീസിൽ പോകുന്നു,he is going at office
945,avan veetteel pani cheyyunnu,അവൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,he is working at home
946,aval vittil varunnu,അവൾ വീട്ടിൽ വരുന്നു,she is coming at home
947,njanu officeil pokunnu,ഞാൻ ഓഫീസിൽ പോകുന്നു,I is going at office
948,njan schoolil varunnu,ഞാൻ സ്കൂളിൽ വരുന്നു,I is coming at school
949,aval schulil pokunnu,അവൾ സ്കൂളിൽ പോകുന്നു,she is going at school
950,aval veettilu kazhikkunnu,അവൾ വീട്ടിൽ കഴിക്കുന്നു,she is eating at home
951,nammal veettil kazhikkunnuu,നാം വീട്ടിൽ കഴിക്കുന്നു,we is eating at home
952,njan schoolilu kazhikkunnu,ഞാൻ സ്കൂളിൽ കഴിക്കുന്നു,I is eating at school
953,njan chaaya padikkunnu,ഞാൻ ചായ പഠിക്കുന്നു,I is studying tea
954,nee schoolil kazhikkunnu,നീ സ്കൂളിൽ കഴിക്കുന്നു,you is eating at school
955,nee officeil oorangoonnoo,നീ ഓഫീസിൽ ഉറങ്ങുന്നു,you is sleeping at office
956,njan coffee kazhikkunnuu,ഞാൻ കാപ്പി കഴിക്കുന്നു,I is eating coffee
957,aval officeil pani cheyyunnuu,അവൾ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,she is working at office
958,nammal schoolil varunnuu,നാം സ്കൂളിൽ വരുന്നു,we is coming at school
959,nammal pusthakam pani cheyyunnuu,നാം പുസ്തകം ജോലി ചെയ്യുന്നു,we is working book
960,avan officeilu pokunnuu,അവൻ ഓഫീസിൽ പോകുന്നു,he is going at office
961,ni coffee pokunnu,നീ കാപ്പി പോകുന്നു,you is going coffee
962,nammalu offeeceeel urangunnu,നാം ഓഫീസിൽ ഉറങ്ങുന്നു,we is sleeping at office
963,ni chaaya kazhikkunnu,നീ ചായ കഴിക്കുന്നു,you is eating tea
964,ni schoolil urangunnu,നീ സ്കൂളിൽ ഉറങ്ങുന്നു,you is sleeping at school
965,avan officeilu varunnu,അവൻ ഓഫീസിൽ വരുന്നു,he is coming at office
966,nammalu offeeceeel oorangoonnoo,നാം ഓഫീസിൽ ഉറങ്ങുന്നു,we is sleeping at office
967,njan chaya pokunnu,ഞാൻ ചായ പോകുന്നു,I is going tea
968,avan vellam kazhikkunnu,അവൻ വെള്ളം കഴിക്കുന്നു,he is eating water
969,nammal vittil urangunnuu,നാം വീട്ടിൽ ഉറങ്ങുന്നു,we is sleeping at home
970,nammal chaaya pani cheyyunnuu,നാം ചായ ജോലി ചെയ്യുന്നു,we is working tea
971,nee padikkoonnoo undo,നീ പഠിക്കുന്നു ഉണ്ടോ,is you studying?
972,aval pusthakamu panee cheyyunnu,അവൾ പുസ്തകം ജോലി ചെയ്യുന്നു,she is working book
973,nammal chaaya pokunnuu,നാം ചായ പോകുന്നു,we is going tea
974,nammal schoolil pokunnuu,നാം സ്കൂളിൽ പോകുന്നു,we is going at school
975,avanu veettilu panee cheyyunnu,അവൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,he is working at home
976,nammal schulil varoonnoo,നാം സ്കൂളിൽ വരുന്നു,we is coming at school
977,avan veetteel oorangoonnoo,അവൻ വീട്ടിൽ ഉറങ്ങുന്നു,he is sleeping at home
978,nammal poosthakam kazhikkunnu,നാം പുസ്തകം കഴിക്കുന്നു,we is eating book
979,nee chaya padikkunnu,നീ ചായ പഠിക്കുന്നു,you is studying tea
980,avalu pani cheyyoonnoo undo,അവൾ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is she working?
981,nammal chaaya pokunnu,നാം ചായ പോകുന്നു,we is going tea
982,nee vittil pokunnu,നീ വീട്ടിൽ പോകുന്നു,you is going at home
983,njan veettil padeekkunnu,ഞാൻ വീട്ടിൽ പഠിക്കുന്നു,I is studying at home
984,aval offeeceeel pani cheyyunnu,അവൾ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,she is working at office
985,aval officeil padikkoonnoo,അവൾ ഓഫീസിൽ പഠിക്കുന്നു,she is studying at office
986,avan schoolilu pani cheyyunnuu,അവൻ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,he is working at school
987,njan veetteel urangunnu,ഞാൻ വീട്ടിൽ ഉറങ്ങുന്നു,I is sleeping at home
988,nee veetteel padikkunnu,നീ വീട്ടിൽ പഠിക്കുന്നു,you is studying at home
989,aval coffi urangunnuu,അവൾ കാപ്പി ഉറങ്ങുന്നു,she is sleeping coffee
990,avan officeilu kazheekkunnu,അവൻ ഓഫീസിൽ കഴിക്കുന്നു,he is eating at office
991,ni kazheekkunnu undo,നീ കഴിക്കുന്നു ഉണ്ടോ,is you eating?
992,avan chaaya varoonnoo,അവൻ ചായ വരുന്നു,he is coming tea
993,njan pusthakam padikkoonnoo,ഞാൻ പുസ്തകം പഠിക്കുന്നു,I is studying book
994,avan pusthakam padikkunnuu,അവൻ പുസ്തകം പഠിക്കുന്നു,he is studying book
995,njan pusthakam varunnuu,ഞാൻ പുസ്തകം വരുന്നു,I is coming book
996,njan veettil pani cheyyoonnoo,ഞാൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,I is working at home
997,aval chaaya padeekkunnu,അവൾ ചായ പഠിക്കുന്നു,she is studying tea
998,ni veetteel kazhikkunnuu,നീ വീട്ടിൽ കഴിക്കുന്നു,you is eating at home
999,nee officeil urangunnu,നീ ഓഫീസിൽ ഉറങ്ങുന്നു,you is sleeping at office
1000,avan veettil pani cheyyunnuu,അവൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,he is working at home
1001,nammal chaaya kazhikkoonnoo,നാം ചായ കഴിക്കുന്നു,we is eating tea
1002,aval coffee pani cheyyunnu,അവൾ കാപ്പി ജോലി ചെയ്യുന്നു,she is working coffee
1003,njan coffee pokunnu,ഞാൻ കാപ്പി പോകുന്നു,I is going coffee
1004,njan coffee urangunnuu,ഞാൻ കാപ്പി ഉറങ്ങുന്നു,I is sleeping coffee
1005,avan veettil kazhikkunnu,അവൻ വീട്ടിൽ കഴിക്കുന്നു,he is eating at home
1006,aval schulil kazhikkunnu,അവൾ സ്കൂളിൽ കഴിക്കുന്നു,she is eating at school
1007,avalu vellam urangunnu,അവൾ വെള്ളം ഉറങ്ങുന്നു,she is sleeping water
1008,njan vittil urangunnu,ഞാൻ വീട്ടിൽ ഉറങ്ങുന്നു,I is sleeping at home
1009,avanu pusthakamu kazhikkunnu,അവൻ പുസ്തകം കഴിക്കുന്നു,he is eating book
1010,avan officeil kazhikkoonnoo,അവൻ ഓഫീസിൽ കഴിക്കുന്നു,he is eating at office
1011,neeu officeil kazhikkunnu,നീ ഓഫീസിൽ കഴിക്കുന്നു,you is eating at office
1012,nammal veettilu pani cheyyunnuu,നാം വീട്ടിൽ ജോലി ചെയ്യുന്നു,we is working at home
1013,avanu chaayau pani cheyyunnu,അവൻ ചായ ജോലി ചെയ്യുന്നു,he is working tea
1014,nee schulil pokunnuu,നീ സ്കൂളിൽ പോകുന്നു,you is going at school
1015,njan padeekkunnu undo,ഞാൻ പഠിക്കുന്നു ഉണ്ടോ,is I studying?
1016,aval coffee padikkunnu,അവൾ കാപ്പി പഠിക്കുന്നു,she is studying coffee
1017,nee schoolil urangunnuu,നീ സ്കൂളിൽ ഉറങ്ങുന്നു,you is sleeping at school
1018,njan veetteel varunnu,ഞാൻ വീട്ടിൽ വരുന്നു,I is coming at home
1019,nammal veettilu pokunnu,നാം വീട്ടിൽ പോകുന്നു,we is going at home
1020,njan padikkoonnoo undo,ഞാൻ പഠിക്കുന്നു ഉണ്ടോ,is I studying?
1021,njanu chaaya padikkunnu,ഞാൻ ചായ പഠിക്കുന്നു,I is studying tea
1022,njan pusthakam pokunnuu,ഞാൻ പുസ്തകം പോകുന്നു,I is going book
1023,nee schooleel padikkunnuu,നീ സ്കൂളിൽ പഠിക്കുന്നു,you is studying at school
1024,njan vellam kazhikkunnu,ഞാൻ വെള്ളം കഴിക്കുന്നു,I is eating water
1025,aval schooleel padeekkunnu,അവൾ സ്കൂളിൽ പഠിക്കുന്നു,she is studying at school
1026,aval pusthakamu padikkunnu,അവൾ പുസ്തകം പഠിക്കുന്നു,she is studying book
1027,nee veettil kazhikkunnu,നീ വീട്ടിൽ കഴിക്കുന്നു,you is eating at home
1028,njan pusthakam pokoonnoo,ഞാൻ പുസ്തകം പോകുന്നു,I is going book
1029,njanu veettil varunnu,ഞാൻ വീട്ടിൽ വരുന്നു,I is coming at home
1030,njan veetteel kazhikkunnuu,ഞാൻ വീട്ടിൽ കഴിക്കുന്നു,I is eating at home
1031,neeu officeilu urangunnu,നീ ഓഫീസിൽ ഉറങ്ങുന്നു,you is sleeping at office
1032,nammal chaaya pokoonnoo,നാം ചായ പോകുന്നു,we is going tea
1033,aval schoolil padeekkunnu,അവൾ സ്കൂളിൽ പഠിക്കുന്നു,she is studying at school
1034,njanu veettil kazhikkunnu,ഞാൻ വീട്ടിൽ കഴിക്കുന്നു,I is eating at home
1035,njan chaaya oorangoonnoo,ഞാൻ ചായ ഉറങ്ങുന്നു,I is sleeping tea
